url,name,cost_sgd,sell_sgd,sold,reviews,rating,images,shop
https://shopee.sg/metal-shoe-rack-minimalist-design-shoe-rack-bto-choice-high-density-polyethylene-metal-4-tier-5-tie-i.115295362.8538130563,"🇸🇬 Metal Shoe Rack/ Minimalist Design Shoe Rack/ BTO Choice/ High-Density Polyethylene & Metal/ 4 Tier & 5 Tier",10.45,39,5000,2465,4.72,8,"EVERLAND"
https://shopee.sg/updated-version-bto-shoe-rack-shoe-cabinet-hdb-shoe-rack-furniture-white-shoe-rack-diy-shoe-rack-i.116640572.1782553466,"UPDATED VERSION BTO shoe rack Shoe cabinet HDB shoe rack Furniture White shoe rack DIY shoe rack",13.6,39,5000,2461,4.8,9,"Ceople2015"
https://shopee.sg/epitex-cooling-waterproof-mattress-protector-bed-protector-fitted-protector-antibacterial-and-anti-m-i.27122064.2005786213,"Epitex Cooling Waterproof Mattress Protector | Bed Protector | Fitted Protector | Antibacterial And Anti-Mite",50.94,79,5000,2452,4.91,4,"Epitex Official Store"
https://shopee.sg/weich-100-waterproof-bedsheet-mattress-protector-pillow-protector-breathable-mattress-cover-i.84652429.1427724872,"WEICH 100% Waterproof Bedsheet Mattress Protector & Pillow Protector Breathable Mattress Cover",5.8,39,5000,2440,4.91,9,"Weich HomeTextile"
https://shopee.sg/intex-inflatable-air-bed-mattress-single-super-single-queen-super-queen-travel-camping-outdoor-i.13676621.2079177819,"Intex Inflatable Air Bed / Mattress (SIngle / Super Single / Queen / Super Queen) Travel * Camping * Outdoor",8.9,39,5000,2351,4.87,7,"RTR Online"
https://shopee.sg/plastic-panel-shoe-rack-cabinet-with-translucent-door-i.79495367.6949592946,"Plastic Panel Shoe Rack Cabinet with Translucent Door",16.23,49,5000,2313,4.74,9,"urbargainhunter"
https://shopee.sg/sg-ready-stock-foldable-shoe-box-3-pcs-6-pcs-bundle-installation-free-shoe-cabinet-shoe-rack-i.814796766.29800435713,"【SG READY STOCK】Foldable Shoe Box (3 Pcs/6 PCS Bundle)Installation Free shoe cabinet | shoe rack",8.16,39,5000,2190,4.91,9,"Love Storage Home"
https://shopee.sg/living-mall-6-inch-high-density-foam-mattress-single-super-single-queen-king-sizes-i.92727875.28811040036,"Living Mall 6-inch High Density Foam Mattress - Single / Super Single / Queen / King Sizes",61.55,99,5000,2169,4.89,8,"Living Mall"
https://shopee.sg/v-home-wardrobe-divider-organizer-for-closet-bookshelf-cabinet-no-drill-no-nail-free-shelf-support-i.20720050.2171837657,"[V.Home] Wardrobe Divider Organizer/ for Closet Bookshelf Cabinet /No drill no nail / Free Shelf Support Pegs included!",4.39,29,5000,2145,4.8,8,"Verihome"
https://shopee.sg/jean-perry-fitted-mattress-protector-i-mattress-topper-i-fitted-protector-i-mattress-pad-i-bed-prote-i.261548406.3157848997,"Jean Perry Fitted Mattress Protector I Mattress Topper I Fitted Protector I Mattress Pad I Bed Protector",37.15,69,5000,2088,4.93,5,"Jean Perry Official Store.SG"
